               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039252,            0.013193,           0.0085455,             0.63337,             0.79724,             0.65381,             0.37564,            0.040407,           0.0063036,           0.0046059,            0.004225,            0.004225,            0.004225
                  37,            0.039403,            0.011477,            0.011522,             0.66518,             0.79997,              0.6785,              0.3867,            0.041591,           0.0064937,           0.0043673,             0.00406,             0.00406,             0.00406
                  38,            0.039529,            0.012236,            0.008187,             0.65699,             0.78462,             0.66362,             0.32287,            0.042695,            0.005868,           0.0036475,            0.003895,            0.003895,            0.003895
                  39,            0.039424,             0.01126,             0.00966,             0.68686,              0.8057,             0.67899,             0.31209,            0.036781,           0.0058718,           0.0038808,             0.00373,             0.00373,             0.00373
                  40,            0.040333,            0.012313,           0.0088751,             0.70484,             0.82455,             0.71245,             0.37687,             0.03607,           0.0057274,           0.0036167,            0.003565,            0.003565,            0.003565
                  41,            0.037916,            0.012145,            0.011406,             0.67191,             0.78776,             0.67263,             0.37618,            0.034082,           0.0057951,           0.0036921,              0.0034,              0.0034,              0.0034
                  42,            0.037561,            0.011203,           0.0093206,             0.64567,             0.81234,             0.65408,             0.35883,             0.03474,           0.0057478,           0.0035717,            0.003235,            0.003235,            0.003235
                  43,            0.032629,            0.010196,           0.0087119,             0.63092,             0.67096,               0.654,             0.36364,            0.035572,           0.0055442,           0.0041244,             0.00307,             0.00307,             0.00307
                  44,            0.034751,            0.010419,            0.011662,             0.61608,             0.73405,             0.66609,             0.39313,             0.03447,           0.0056334,           0.0039073,            0.002905,            0.002905,            0.002905
                  45,            0.034222,            0.010221,           0.0089539,             0.60922,             0.70679,             0.65458,             0.36931,            0.033724,            0.005628,            0.003928,             0.00274,             0.00274,             0.00274
                  46,            0.033752,            0.010533,           0.0071523,             0.63903,             0.79697,              0.6666,             0.36885,            0.032459,           0.0056909,           0.0039023,            0.002575,            0.002575,            0.002575
                  47,            0.033185,           0.0096563,             0.00783,              0.6609,             0.79203,             0.66476,             0.40866,            0.034017,           0.0056866,           0.0039964,             0.00241,             0.00241,             0.00241
                  48,            0.035423,            0.011003,           0.0096294,             0.66701,             0.76559,             0.68592,             0.41761,            0.031682,           0.0056858,           0.0040039,            0.002245,            0.002245,            0.002245
                  49,            0.033835,            0.010017,            0.010115,             0.67976,             0.79079,             0.68248,             0.41251,            0.032482,           0.0055183,           0.0038229,             0.00208,             0.00208,             0.00208
                  50,            0.032654,           0.0098456,           0.0086624,             0.67208,             0.76436,             0.69143,             0.43038,            0.035142,           0.0053457,           0.0034418,            0.001915,            0.001915,            0.001915
                  51,             0.03713,            0.012217,           0.0055195,             0.67074,             0.75349,             0.70258,             0.43479,             0.03219,           0.0053712,           0.0033412,             0.00175,             0.00175,             0.00175
                  52,            0.033861,            0.011811,           0.0088634,             0.65487,             0.75104,              0.7014,             0.41219,            0.031382,            0.005388,           0.0031991,            0.001585,            0.001585,            0.001585
                  53,            0.032782,           0.0095861,           0.0056046,             0.64774,             0.76879,             0.70563,              0.4291,            0.031118,           0.0053762,           0.0031541,             0.00142,             0.00142,             0.00142
                  54,            0.035977,            0.011086,            0.016669,             0.66471,             0.77053,             0.71641,             0.44435,              0.0316,           0.0053346,            0.003088,            0.001255,            0.001255,            0.001255
                  55,            0.034031,            0.011553,           0.0076908,             0.70986,             0.77634,              0.7302,             0.43814,            0.030642,           0.0053954,           0.0035904,             0.00109,             0.00109,             0.00109
                  56,            0.032617,            0.011317,           0.0091627,              0.7246,             0.79549,             0.72223,             0.43488,            0.030336,           0.0054605,           0.0039471,            0.000925,            0.000925,            0.000925
                  57,            0.032709,            0.011319,           0.0074802,             0.69321,             0.78462,             0.71305,             0.43849,             0.03055,           0.0054771,           0.0041511,             0.00076,             0.00076,             0.00076
                  58,            0.034843,            0.011134,           0.0079753,             0.70287,             0.78462,             0.72035,             0.44274,            0.031554,           0.0053909,           0.0038829,            0.000595,            0.000595,            0.000595
                  59,            0.032449,           0.0099494,           0.0065207,             0.72215,              0.7792,             0.71742,             0.44019,            0.031607,           0.0053461,           0.0035573,             0.00043,             0.00043,             0.00043
